,0,1,2,3,4,5,6
256,12262,"Sep 07, 2024
10:30 AM PDT",Napa United Napa United Pre-Academy 15G Premier,6 - 4,Black Oaks Youth Soccer Club Black Oaks Little Comets 2015G,Raiders Field - 7v7 North,Gold - Region 5
257,12261,"Sep 07, 2024
12:30 PM PDT",Santa Rosa United Soccer Santa Rosa United 15G Gold,4 - 2,Marin FC Marin FC G15Blue,Trione Fields - Trione East 1,Gold - Region 5
258,12264,"Sep 14, 2024
11:00 AM PDT",Black Oaks Youth Soccer Club Black Oaks Little Comets 2015G,-,Santa Rosa United Soccer Santa Rosa United 15G Gold,A Place To Play Park - Playground Area Field,Gold - Region 5
259,12263,"Sep 14, 2024
11:30 AM PDT",Sonoma Valley United SVU Girls 15 Green,-,Napa United Napa United Pre-Academy 15G Premier,Maxwell Farms Regional Park- Turf - Maxwell Farms Regional Park,Gold - Region 5
260,12265,"Sep 14, 2024
3:00 PM PDT",Marin FC Marin FC G15Blue,-,Mill Valley Soccer Club MVSC Rockers 2015,Hall Middle School - Hall Middle School,Gold - Region 5
261,12274,"Sep 21, 2024
1:30 PM PDT",Napa United Napa United Pre-Academy 15G Premier,-,Santa Rosa United Soccer Santa Rosa United 15G Gold,Raiders Field - 7v7 North,Gold - Region 5
262,12267,"Sep 21, 2024
4:30 PM PDT",North Coast Futbol Club North Coast FC 15G Blue,-,Marin FC Marin FC G15Blue,Petaluma Community Sports Fields / East Washington Fields - PCSF #1A,Gold - Region 5
263,12281,"Sep 28, 2024
9:00 AM PDT",North Coast Futbol Club North Coast FC 15G Blue,-,Sonoma Valley United SVU Girls 15 Green,Petaluma Community Sports Fields / East Washington Fields - PCSF #2A,Gold - Region 5
264,12259,"Sep 28, 2024
11:00 AM PDT",Marin FC Marin FC G15Blue,-,Napa United Napa United Pre-Academy 15G Premier,Hall Middle School - Hall Middle School,Gold - Region 5
265,12279,"Sep 29, 2024
9:00 AM PDT",Sonoma Valley United SVU Girls 15 Green,-,Black Oaks Youth Soccer Club Black Oaks Little Comets 2015G,Altimira Middle School - Field 1,Gold - Region 5
266,12269,"Oct 05, 2024
9:00 AM PDT",Mill Valley Soccer Club MVSC Rockers 2015,-,Santa Rosa United Soccer Santa Rosa United 15G Gold,Alto Field - Alto West,Gold - Region 5
267,12271,"Oct 05, 2024
3:00 PM PDT",Marin FC Marin FC G15Blue,-,Sonoma Valley United SVU Girls 15 Green,Hall Middle School - Hall Middle School,Gold - Region 5
268,12270,"Oct 05, 2024
3:00 PM PDT",Napa United Napa United Pre-Academy 15G Premier,-,North Coast Futbol Club North Coast FC 15G Blue,Raiders Field - 7v7 North,Gold - Region 5
269,12272,"Oct 12, 2024
10:00 AM PDT",Sonoma Valley United SVU Girls 15 Green,-,Mill Valley Soccer Club MVSC Rockers 2015,Adele Harrison Middle School - Field 2,Gold - Region 5
270,12277,"Oct 13, 2024
2:00 PM PDT",Black Oaks Youth Soccer Club Black Oaks Little Comets 2015G,-,Marin FC Marin FC G15Blue,A Place To Play Park - Playground Area Field,Gold - Region 5
271,12275,"Oct 19, 2024
9:30 AM PDT",Santa Rosa United Soccer Santa Rosa United 15G Gold,-,North Coast Futbol Club North Coast FC 15G Blue,Trione Fields - Trione East 2,Gold - Region 5
272,12276,"Oct 19, 2024
11:30 AM PDT",Mill Valley Soccer Club MVSC Rockers 2015,-,Napa United Napa United Pre-Academy 15G Premier,Alto Field - Alto East,Gold - Region 5
273,12266,"Nov 09, 2024
9:00 AM PST",Mill Valley Soccer Club MVSC Rockers 2015,-,Black Oaks Youth Soccer Club Black Oaks Little Comets 2015G,Alto Field - Alto West,Gold - Region 5
274,12280,"Nov 16, 2024
2:30 PM PST",Napa United Napa United Pre-Academy 15G Premier,-,Marin FC Marin FC G15Blue,Raiders Field - 7v7 North,Gold - Region 5
275,12278,"Nov 17, 2024
9:30 AM PST",Mill Valley Soccer Club MVSC Rockers 2015,-,North Coast Futbol Club North Coast FC 15G Blue,Bayfront Park - Bell/Ropers,Gold - Region 5
276,12282,"Nov 17, 2024
2:00 PM PST",Marin FC Marin FC G15Blue,-,Santa Rosa United Soccer Santa Rosa United 15G Gold,Hall Middle School - Hall Middle School,Gold - Region 5
277,12283,"Nov 23, 2024
1:30 PM PST",Black Oaks Youth Soccer Club Black Oaks Little Comets 2015G,-,Napa United Napa United Pre-Academy 15G Premier,Place to Play 6 - Place to Play 6,Gold - Region 5
278,12578,"Aug 17, 2024
1:00 PM PDT",Prospector Soccer Club Prospector SC 2015G,2 - 2,San Juan Soccer Club Spirits 15 Red,Christa McAuliffe Park - Christa 7v7,Bronze - Region 6 East 1
279,12551,"Aug 24, 2024
1:45 PM PDT",Butte United Soccer Club BUSC 2015G Red,1 - 5,Prospector Soccer Club Prospector SC 2015G,DeGarmo Park - 7v7 BUSC (Field #2),Bronze - Region 6 East 1
280,12549,"Aug 24, 2024
3:30 PM PDT",Azzurri FC 15G Blue,1 - 5,El Dorado Hills Soccer Club EDHSC 15G Blue,Sutter Union High School - SUHS Soccer Field,Bronze - Region 6 East 1
281,12550,"Aug 25, 2024
10:30 AM PDT",San Juan Soccer Club Spirits 15 Red,6 - 0,Folsom Lake Surf FLS 15G Academy II,SAN JUAN SOCCER CLUB - Red - A (North),Bronze - Region 6 East 1
282,12554,"Sep 07, 2024
8:00 AM PDT",El Dorado Hills Soccer Club EDHSC 15G Blue,2 - 0,Folsom Lake Surf FLS 15G Academy II,El Dorado Hills CSD - North 1 (7v7),Bronze - Region 6 East 1
283,12552,"Sep 07, 2024
9:15 AM PDT",Prospector Soccer Club Prospector SC 2015G,5 - 3,Azzurri FC 15G Blue,Christa McAuliffe Park - Christa 7v7,Bronze - Region 6 East 1
284,12553,"Sep 07, 2024
12:00 PM PDT",San Juan Soccer Club Spirits 15 Red,5 - 1,Butte United Soccer Club BUSC 2015G Red,SAN JUAN SOCCER CLUB - Red - B (South),Bronze - Region 6 East 1
285,12555,"Sep 14, 2024
8:45 AM PDT",Butte United Soccer Club BUSC 2015G Red,-,Azzurri FC 15G Blue,DeGarmo Park - 7v7 BUSC (Field #2),Bronze - Region 6 East 1
286,12557,"Sep 14, 2024
1:15 PM PDT",Folsom Lake Surf FLS 15G Academy II,-,Prospector Soccer Club Prospector SC 2015G,John Kemp Community Park - Kemp 1 - B,Bronze - Region 6 East 1
287,12559,"Sep 21, 2024
9:00 AM PDT",Azzurri FC 15G Blue,-,San Juan Soccer Club Spirits 15 Red,Sutter Union High School - SUHS Soccer Field,Bronze - Region 6 East 1
288,12558,"Sep 21, 2024
4:00 PM PDT",Folsom Lake Surf FLS 15G Academy II,-,Butte United Soccer Club BUSC 2015G Red,John Kemp Community Park - Kemp 1 - B,Bronze - Region 6 East 1
289,12556,"Sep 22, 2024
9:00 AM PDT",San Juan Soccer Club Spirits 15 Red,-,El Dorado Hills Soccer Club EDHSC 15G Blue,SAN JUAN SOCCER CLUB - Red - B (South),Bronze - Region 6 East 1
290,12577,"Sep 22, 2024
11:00 AM PDT",Azzurri FC 15G Blue,-,Folsom Lake Surf FLS 15G Academy II,Sutter Union High School - SUHS Soccer Field,Bronze - Region 6 East 1
291,12560,"Sep 28, 2024
10:00 AM PDT",Prospector Soccer Club Prospector SC 2015G,-,El Dorado Hills Soccer Club EDHSC 15G Blue,Christa McAuliffe Park - Christa 7v7,Bronze - Region 6 East 1
292,12576,"Sep 29, 2024
10:30 AM PDT",El Dorado Hills Soccer Club EDHSC 15G Blue,-,Butte United Soccer Club BUSC 2015G Red,El Dorado Hills CSD - North 1 (7v7),Bronze - Region 6 East 1
293,12562,"Oct 05, 2024
11:45 AM PDT",Folsom Lake Surf FLS 15G Academy II,-,Azzurri FC 15G Blue,John Kemp Community Park - Kemp 1 - A,Bronze - Region 6 East 1
294,12561,"Oct 05, 2024
1:45 PM PDT",Butte United Soccer Club BUSC 2015G Red,-,El Dorado Hills Soccer Club EDHSC 15G Blue,DeGarmo Park - 7v7 BUSC (Field #2),Bronze - Region 6 East 1
295,12566,"Oct 12, 2024
9:00 AM PDT",Folsom Lake Surf FLS 15G Academy II,-,San Juan Soccer Club Spirits 15 Red,John Kemp Community Park - Kemp 1 - B,Bronze - Region 6 East 1
296,12564,"Oct 12, 2024
11:00 AM PDT",Prospector Soccer Club Prospector SC 2015G,-,Butte United Soccer Club BUSC 2015G Red,Christa McAuliffe Park - Christa 7v7,Bronze - Region 6 East 1
297,12565,"Oct 12, 2024
11:45 AM PDT",El Dorado Hills Soccer Club EDHSC 15G Blue,-,Azzurri FC 15G Blue,El Dorado Hills CSD - North 1 (7v7),Bronze - Region 6 East 1
298,12563,"Oct 18, 2024
5:00 PM PDT",San Juan Soccer Club Spirits 15 Red,-,Prospector Soccer Club Prospector SC 2015G,SAN JUAN SOCCER CLUB - Red - A (North),Bronze - Region 6 East 1
299,12567,"Oct 19, 2024
11:30 AM PDT",Azzurri FC 15G Blue,-,Prospector Soccer Club Prospector SC 2015G,Sutter Union High School - SUHS Soccer Field,Bronze - Region 6 East 1
300,12569,"Oct 19, 2024
3:30 PM PDT",Folsom Lake Surf FLS 15G Academy II,-,El Dorado Hills Soccer Club EDHSC 15G Blue,John Kemp Community Park - Kemp 1 - A,Bronze - Region 6 East 1
301,12568,"Oct 20, 2024
12:30 PM PDT",Butte United Soccer Club BUSC 2015G Red,-,San Juan Soccer Club Spirits 15 Red,DeGarmo Park - 7v7 CCSC (Field #1),Bronze - Region 6 East 1
302,12570,"Nov 16, 2024
9:15 AM PST",Prospector Soccer Club Prospector SC 2015G,-,Folsom Lake Surf FLS 15G Academy II,Christa McAuliffe Park - Christa 7v7,Bronze - Region 6 East 1
303,12572,"Nov 16, 2024
9:15 AM PST",El Dorado Hills Soccer Club EDHSC 15G Blue,-,San Juan Soccer Club Spirits 15 Red,Bass Lake/Sellwood Park - 7v7,Bronze - Region 6 East 1
304,12571,"Nov 16, 2024
1:30 PM PST",Azzurri FC 15G Blue,-,Butte United Soccer Club BUSC 2015G Red,Sutter Union High School - SUHS Soccer Field,Bronze - Region 6 East 1
305,12573,"Nov 23, 2024
8:00 AM PST",El Dorado Hills Soccer Club EDHSC 15G Blue,-,Prospector Soccer Club Prospector SC 2015G,Bass Lake/Sellwood Park - 7v7,Bronze - Region 6 East 1
306,12574,"Nov 23, 2024
12:30 PM PST",Butte United Soccer Club BUSC 2015G Red,-,Folsom Lake Surf FLS 15G Academy II,DeGarmo Park - 7v7 BUSC (Field #2),Bronze - Region 6 East 1
307,12575,"Nov 23, 2024
3:00 PM PST",San Juan Soccer Club Spirits 15 Red,-,Azzurri FC 15G Blue,SAN JUAN SOCCER CLUB - Red - B (South),Bronze - Region 6 East 1
308,24400,"Aug 17, 2024
10:30 AM PDT",Valley Surf Valley Surf 15G Academy I,5 - 1,Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,River Islands Sports Park - Field #7 (7v7),Silver - Region 8
309,24372,"Aug 24, 2024
11:30 AM PDT",Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,0 - 3,Valley Surf Valley Surf 15G Academy I,Dutra Southeast - 7V7 Field,Silver - Region 8
310,24373,"Aug 25, 2024
9:00 AM PDT",Merced United FC MUFC 2015G Red,2 - 5,Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,Merced College - MJC Field #2 7v7,Silver - Region 8
311,24376,"Sep 07, 2024
2:00 PM PDT",Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,4 - 0,Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,Manlio Silva - 7v7,Silver - Region 8
312,24377,"Sep 07, 2024
4:00 PM PDT",West Coast Soccer Tracy West Coast Kaos Krew '15,2 - 8,Valley Surf Valley Surf 15G Academy I,Legacy Sports Fields  - Legacy Sports Field #8,Silver - Region 8
313,24374,"Sep 08, 2024
5:00 PM PDT",Oakdale Soccer Club OSC Stallions 2015G Oakies,1 - 1,West Coast Soccer Tracy West Coast Kaos Krew '15,TL Davis Sports Complex - #9 7v7 Comp,Silver - Region 8
314,24380,"Sep 14, 2024
10:30 AM PDT",Valley Surf Valley Surf 15G Academy I,-,Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,River Islands Sports Park - Field #7 (7v7),Silver - Region 8
315,24379,"Sep 14, 2024
2:00 PM PDT",Merced United FC MUFC 2015G Red,-,West Coast Soccer Tracy West Coast Kaos Krew '15,Merced College - MJC Field #2 7v7,Silver - Region 8
316,24381,"Sep 21, 2024
2:00 PM PDT",Merced United FC MUFC 2015G Red,-,Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,Merced College - MJC Field #2 7v7,Silver - Region 8
317,24382,"Sep 21, 2024
4:00 PM PDT",Oakdale Soccer Club OSC Stallions 2015G Oakies,-,Valley Surf Valley Surf 15G Academy I,TL Davis Sports Complex - #9 7v7 Comp,Silver - Region 8
318,24383,"Sep 21, 2024
4:00 PM PDT",West Coast Soccer Tracy West Coast Kaos Krew '15,-,Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,Legacy Sports Fields  - Legacy Sports Field #8,Silver - Region 8
319,24399,"Sep 22, 2024
4:00 PM PDT",Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,-,Merced United FC MUFC 2015G Red,Manlio Silva - 7v7,Silver - Region 8
320,24375,"Sep 28, 2024
10:00 AM PDT",Oakdale Soccer Club OSC Stallions 2015G Oakies,-,Merced United FC MUFC 2015G Red,TL Davis Sports Complex - #9 7v7 Comp,Silver - Region 8
321,24378,"Oct 04, 2024
5:30 PM PDT",Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,-,Oakdale Soccer Club OSC Stallions 2015G Oakies,Woodward Fields - BASIN RANGERS 7V7,Silver - Region 8
322,24384,"Oct 05, 2024
1:00 PM PDT",Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,-,West Coast Soccer Tracy West Coast Kaos Krew '15,Woodward Fields - BASIN RANGERS 7V7,Silver - Region 8
323,24385,"Oct 05, 2024
3:30 PM PDT",Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,-,Oakdale Soccer Club OSC Stallions 2015G Oakies,Manlio Silva - 7v7,Silver - Region 8
324,24389,"Oct 12, 2024
8:00 AM PDT",Valley Surf Valley Surf 15G Academy I,-,West Coast Soccer Tracy West Coast Kaos Krew '15,River Islands Sports Park - Field #7 (7v7),Silver - Region 8
325,24388,"Oct 12, 2024
10:15 AM PDT",Merced United FC MUFC 2015G Red,-,Oakdale Soccer Club OSC Stallions 2015G Oakies,Merced College - MJC Field #2 7v7,Silver - Region 8
326,24387,"Oct 12, 2024
3:00 PM PDT",Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,-,Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,Woodward Fields - BASIN RANGERS 7V7,Silver - Region 8
327,24390,"Oct 13, 2024
9:00 AM PDT",Oakdale Soccer Club OSC Stallions 2015G Oakies,-,Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,TL Davis Sports Complex - #9 7v7 Comp,Silver - Region 8
328,24391,"Oct 19, 2024
10:30 AM PDT",Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,-,Valley Surf Valley Surf 15G Academy I,Manlio Silva - 7v7,Silver - Region 8
329,24392,"Oct 19, 2024
3:30 PM PDT",West Coast Soccer Tracy West Coast Kaos Krew '15,-,Merced United FC MUFC 2015G Red,Legacy Sports Fields  - Legacy Sports Field #8,Silver - Region 8
330,24401,"Oct 20, 2024
5:00 PM PDT",West Coast Soccer Tracy West Coast Kaos Krew '15,-,Oakdale Soccer Club OSC Stallions 2015G Oakies,Legacy Sports Fields  - Legacy Sports Field #8,Silver - Region 8
331,24395,"Nov 16, 2024
10:30 AM PST",Valley Surf Valley Surf 15G Academy I,-,Oakdale Soccer Club OSC Stallions 2015G Oakies,River Islands Sports Park - Field #7 (7v7),Silver - Region 8
332,24394,"Nov 16, 2024
1:30 PM PST",Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,-,West Coast Soccer Tracy West Coast Kaos Krew '15,Manlio Silva - 7v7,Silver - Region 8
333,24393,"Nov 16, 2024
2:15 PM PST",Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,-,Merced United FC MUFC 2015G Red,Dutra Southeast - 7V7 Field,Silver - Region 8
334,24398,"Nov 23, 2024
9:00 AM PST",West Coast Soccer Tracy West Coast Kaos Krew '15,-,Manteca Area Soccer League Manteca Area Soccer Rangers United 15G Gold,Legacy Sports Fields  - Legacy Sports Field #8,Silver - Region 8
335,24396,"Nov 23, 2024
2:00 PM PST",Merced United FC MUFC 2015G Red,-,Valley Surf Valley Surf 15G Academy I,Merced College - MJC Field #2 7v7,Silver - Region 8
336,24397,"Nov 23, 2024
3:00 PM PST",Oakdale Soccer Club OSC Stallions 2015G Oakies,-,Stockton TLJ FC Stockton TLJ FC Rebels 15/16G,TL Davis Sports Complex - #9 7v7 Comp,Silver - Region 8
337,24386,"Dec 07, 2024
12:45 PM PST",Valley Surf Valley Surf 15G Academy I,-,Merced United FC MUFC 2015G Red,River Islands Sports Park - Field #7 (7v7),Silver - Region 8
338,20450,"Aug 17, 2024
4:00 PM PDT",San Mateo County FC SMC 15G Academy Blue,-,Burlingame Soccer Club Burlingame SC 2015G Purple,Orange Memorial Park - OMP-2B (9v9/7v7),Copper - Region 1 - North
339,20425,"Aug 24, 2024
11:45 AM PDT",Burlingame Soccer Club Burlingame SC 2015G Purple,-,San Bruno Lowen 83 Cheetahs White 15/16G,Franklin / Osberg Schools - Franklin South,Copper - Region 1 - North
340,20428,"Sep 07, 2024
1:00 PM PDT",Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,3 - 0,Girls Unite Girls Unite 2015G Hope White,Catamaran Park  - East,Copper - Region 1 - North
341,20426,"Sep 08, 2024
9:30 AM PDT",Belmont United Soccer Club Belmont United 15G Wave FC Blue,8 - 1,Burlingame Soccer Club Burlingame SC 2015G Purple,Marlin Park - NE 7v7,Copper - Region 1 - North
342,20427,"Sep 08, 2024
12:00 PM PDT",San Bruno Lowen 83 Cheetahs White 15/16G,2 - 3,San Francisco Glens Soccer Club SF Glens 15G Black,Crestmoor Fields - Crestmoor Upper C (7v7),Copper - Region 1 - North
343,20429,"Sep 14, 2024
3:30 PM PDT",San Mateo County FC SMC 15G Academy Blue,-,Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,Orange Memorial Park - OMP-1A (9v9/7v7),Copper - Region 1 - North
344,20431,"Sep 15, 2024
8:30 AM PDT",San Francisco Glens Soccer Club SF Glens 15G Black,-,Belmont United Soccer Club Belmont United 15G Wave FC Blue,South Sunset - South Sunset 2,Copper - Region 1 - North
345,20430,"Sep 15, 2024
3:15 PM PDT",Girls Unite Girls Unite 2015G Hope White,-,San Bruno Lowen 83 Cheetahs White 15/16G,Minnie and Lovie  - Minnie and Lovie #3,Copper - Region 1 - North
346,20432,"Sep 21, 2024
2:15 PM PDT",Burlingame Soccer Club Burlingame SC 2015G Purple,-,San Francisco Glens Soccer Club SF Glens 15G Black,Village Park - Village Park,Copper - Region 1 - North
347,20423,"Sep 22, 2024
5:00 AM PDT",Girls Unite Girls Unite 2015G Hope White,-,San Mateo County FC SMC 15G Academy Blue,Mission Playground,Copper - Region 1 - North
348,20433,"Sep 22, 2024
11:30 AM PDT",Belmont United Soccer Club Belmont United 15G Wave FC Blue,-,Girls Unite Girls Unite 2015G Hope White,Marlin Park - NE 7v7,Copper - Region 1 - North
349,20424,"Sep 29, 2024
3:15 PM PDT",San Francisco Glens Soccer Club SF Glens 15G Black,-,Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,Minnie and Lovie  - Minnie and Lovie #3,Copper - Region 1 - North
350,20435,"Oct 05, 2024
11:45 AM PDT",Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,-,San Bruno Lowen 83 Cheetahs White 15/16G,Catamaran Park  - East,Copper - Region 1 - North
351,20437,"Oct 05, 2024
2:45 PM PDT",Girls Unite Girls Unite 2015G Hope White,-,Burlingame Soccer Club Burlingame SC 2015G Purple,Rossi Park - Field #1,Copper - Region 1 - North
352,20436,"Oct 05, 2024
3:30 PM PDT",San Mateo County FC SMC 15G Academy Blue,-,Belmont United Soccer Club Belmont United 15G Wave FC Blue,Fair Oaks Field - Fair Oaks 7v7 Hampshire (NO DOGS ALLOWED),Copper - Region 1 - North
353,20440,"Oct 13, 2024
10:00 AM PDT",Belmont United Soccer Club Belmont United 15G Wave FC Blue,-,Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,Marlin Park - NE 7v7,Copper - Region 1 - North
354,20438,"Oct 13, 2024
1:00 PM PDT",San Francisco Glens Soccer Club SF Glens 15G Black,-,Girls Unite Girls Unite 2015G Hope White,Minnie and Lovie  - Minnie and Lovie #3,Copper - Region 1 - North
355,20439,"Oct 13, 2024
5:45 PM PDT",Burlingame Soccer Club Burlingame SC 2015G Purple,-,San Mateo County FC SMC 15G Academy Blue,Village Park - Village Park,Copper - Region 1 - North
356,20442,"Oct 19, 2024
11:45 AM PDT",Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,-,Burlingame Soccer Club Burlingame SC 2015G Purple,Catamaran Park  - East,Copper - Region 1 - North
357,20443,"Oct 19, 2024
5:30 PM PDT",San Mateo County FC SMC 15G Academy Blue,-,San Francisco Glens Soccer Club SF Glens 15G Black,Orange Memorial Park - OMP-2B (9v9/7v7),Copper - Region 1 - North
358,20441,"Oct 20, 2024
9:00 AM PDT",San Bruno Lowen 83 Cheetahs White 15/16G,-,Belmont United Soccer Club Belmont United 15G Wave FC Blue,Crestmoor Fields - Crestmoor Upper C (7v7),Copper - Region 1 - North
359,20447,"Oct 20, 2024
12:45 PM PDT",Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,-,San Mateo County FC SMC 15G Academy Blue,Catamaran Park  - West,Copper - Region 1 - North
360,20448,"Nov 03, 2024
10:30 AM PST",San Bruno Lowen 83 Cheetahs White 15/16G,-,Girls Unite Girls Unite 2015G Hope White,Crestmoor Fields - Crestmoor Upper C (7v7),Copper - Region 1 - North
361,20449,"Nov 10, 2024
1:15 PM PST",Belmont United Soccer Club Belmont United 15G Wave FC Blue,-,San Francisco Glens Soccer Club SF Glens 15G Black,Marlin Park - NE 7v7,Copper - Region 1 - North
362,20434,"Nov 10, 2024
1:30 PM PST",San Bruno Lowen 83 Cheetahs White 15/16G,-,San Mateo County FC SMC 15G Academy Blue,Crestmoor Fields - Crestmoor Upper C (7v7),Copper - Region 1 - North
363,20446,"Nov 16, 2024
8:30 AM PST",Girls Unite Girls Unite 2015G Hope White,-,Peninsula Youth Soccer Peninsula SC Tornadoes Red 15G,South Sunset - Field #3,Copper - Region 1 - North
364,20444,"Nov 17, 2024
10:30 AM PST",Burlingame Soccer Club Burlingame SC 2015G Purple,-,Belmont United Soccer Club Belmont United 15G Wave FC Blue,Franklin / Osberg Schools - Franklin North,Copper - Region 1 - North
365,20445,"Nov 17, 2024
2:10 PM PST",San Francisco Glens Soccer Club SF Glens 15G Black,-,San Bruno Lowen 83 Cheetahs White 15/16G,Minnie and Lovie  - Minnie and Lovie #3,Copper - Region 1 - North
366,12340,"Aug 24, 2024
9:30 AM PDT",MANTECA FUTBOL CLUB Manteca Futbol Club 15G,10 - 2,Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,Woodward Park - Woodward Park Field # 5 7 v 7,Gold - Region 8
367,12339,"Aug 26, 2024
7:00 PM PDT",Ajax United Ajax United 15G Green Pre-GA,2 - 3,CV Futbol Academy CVFA 15G Academy,Mary Grogan Soccer Complex - GR7A,Gold - Region 8
368,12341,"Sep 07, 2024
4:00 PM PDT",Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,1 - 0,Ajax United Ajax United 15G Green Pre-GA,Regional Soccer Complex  - Field 3 (County Field 4),Gold - Region 8
369,12344,"Sep 13, 2024
6:30 PM PDT",CV Futbol Academy CVFA 15G Academy,-,Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,Turlock Regional Sports Complex - 1A 7v7,Gold - Region 8
370,12346,"Sep 22, 2024
5:00 PM PDT",Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,-,MANTECA FUTBOL CLUB Manteca Futbol Club 15G,Regional Soccer Complex  - Field 4 (County Field 3),Gold - Region 8
371,12345,"Sep 23, 2024
6:30 PM PDT",CV Futbol Academy CVFA 15G Academy,-,Ajax United Ajax United 15G Green Pre-GA,Turlock Regional Sports Complex - 1A 7v7,Gold - Region 8
372,12350,"Oct 05, 2024
12:00 PM UTC",Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,-,CV Futbol Academy CVFA 15G Academy,,Gold - Region 8
373,12349,"Oct 12, 2024
12:30 PM PDT",MANTECA FUTBOL CLUB Manteca Futbol Club 15G,-,Ajax United Ajax United 15G Green Pre-GA,Woodward Park - Woodward Park Field # 5 7 v 7,Gold - Region 8
374,12352,"Oct 19, 2024
8:00 AM PDT",MANTECA FUTBOL CLUB Manteca Futbol Club 15G,-,Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,Woodward Park - Woodward Park Field # 5 7 v 7,Gold - Region 8
375,12348,"Oct 20, 2024
10:00 AM PDT",CV Futbol Academy CVFA 15G Academy,-,MANTECA FUTBOL CLUB Manteca Futbol Club 15G,Turlock Regional Sports Complex - 1A 7v7,Gold - Region 8
376,12351,"Oct 21, 2024
7:00 PM PDT",Ajax United Ajax United 15G Green Pre-GA,-,CV Futbol Academy CVFA 15G Academy,Mary Grogan Soccer Complex - GR7A,Gold - Region 8
377,12354,"Nov 16, 2024
9:30 AM PST",MANTECA FUTBOL CLUB Manteca Futbol Club 15G,-,CV Futbol Academy CVFA 15G Academy,Woodward Park - Woodward Park Field # 5 7 v 7,Gold - Region 8
378,12353,"Nov 16, 2024
12:00 PM PST",Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,-,Ajax United Ajax United 15G Green Pre-GA,Regional Soccer Complex  - Field 4 (County Field 3),Gold - Region 8
379,12356,"Nov 23, 2024
10:00 AM PST",CV Futbol Academy CVFA 15G Academy,-,Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,Turlock Regional Sports Complex - 1A 7v7,Gold - Region 8
380,12355,"Nov 23, 2024
11:00 AM PST",Ajax United Ajax United 15G Green Pre-GA,-,MANTECA FUTBOL CLUB Manteca Futbol Club 15G,Mary Grogan Soccer Complex - GR7A,Gold - Region 8
381,12347,"Nov 24, 2024
10:00 AM PST",Ajax United Ajax United 15G Green Pre-GA,-,Stockton Storm Futbol Club Stockton Storm FC 2015 Girls Blue,Mary Grogan Soccer Complex - GR7A,Gold - Region 8
382,12343,"Nov 30, 2024
10:00 AM PST",Ajax United Ajax United 15G Green Pre-GA,-,MANTECA FUTBOL CLUB Manteca Futbol Club 15G,Mary Grogan Soccer Complex - GR7A,Gold - Region 8
383,12342,"Dec 07, 2024
2:00 PM PST",MANTECA FUTBOL CLUB Manteca Futbol Club 15G,-,CV Futbol Academy CVFA 15G Academy,Woodward Park - Woodward Park Field # 5 7 v 7,Gold - Region 8
384,16576,"Sep 07, 2024
9:00 AM PDT",San Francisco Seals SF Seals 15G Black,0 - 3,San Bruno Lowen 83 Cheetahs Black 15/16G,Rossi Park - Field #1,Bronze - Region 1 - North
385,16577,"Sep 07, 2024
1:00 PM PDT",San Carlos United Soccer Club San Carlos United SC 15G Blue,1 - 4,Belmont United Soccer Club Belmont United 15G Wave FC Black,Highlands - Stadium 7v7,Bronze - Region 1 - North
386,16579,"Sep 08, 2024
10:45 AM PDT",Dnamo FC Dnamo FC Lazio,1 - 5,Girls Unite Girls Unite 2015G Believe Gray,South Sunset - Field #2,Bronze - Region 1 - North
